토픽,주장+근거
정치/시사/경제,주간 아파트값 통계는 시장 혼란을 초래하므로 폐지해야 해. 실거래가 반영이 어려워 호가 위주로 조사되어 투기 심리를 조장하기 때문이야.
정치/시사/경제,범죄율이 높은 국가에는 원조를 중단해야 해. 원조금이 범죄 조직의 자금으로 흘러들어 악용되는 것을 막아야 하기 때문이야.
정치/시사/경제,금융과 산업자본 분리 규제는 폐지해야 해. 핀테크 등 첨단 기술과의 융합을 방해하고 빅테크의 금융 시장 진입을 막아 혁신을 막기 때문이야.
철학/윤리,학문의 자유를 위해 석학의 해외 이직을 존중해야 해. 학문의 자유와 개인의 직업 선택의 자유라는 기본권을 보장하는 것이 국가의 의무이기 때문이야.
환경/에너지,수산자원 보호를 위해 낚시면허제를 도입해야 해. 면허제를 통해 어획량을 조절하고 불법 어업을 단속하여 수산자원 고갈을 막아야 하기 때문이야.
사회,복지 차원에서 운전면허 학원비를 지원해야 해. 취업에 필수적인 운전면허 취득 비용이 저소득층에게 큰 부담이 되어 사회 진출 기회의 평등을 막기 때문이야.
정치/시사/경제,근로자의 삶의 질 향상을 위해 주 4.5일 근무제를 도입해야 해. 과로로 인한 생산성 저하를 막고 근로자의 워라밸을 보장하여 삶의 질을 향상시켜야 하기 때문이야.
정치/시사/경제,"초저가 빵집 실험은 시장 혁신에 부정적이야. 과도한 경쟁으로 주변 상권을 파괴하고, 낮은 품질의 제품으로 소비자를 기만할 수 있기 때문이야."
교육/학교/청소년,"교사 임용 축소는 불가피해. 학령 인구 감소는 명백한 사실이며, 과도한 교원 공급은 교육 예산의 낭비와 임용 대란을 초래하기 때문이야."
사회,"국민 건강 증진을 위해 설탕세를 도입해야 해. 설탕세는 비만, 당뇨 등 만성 질환을 유발하는 설탕 소비를 억제하고 세수를 건강 증진 기금으로 활용할 수 있기 때문이야."
정치/시사/경제,주식 양도세 대주주 기준을 강화해야 해. 소수의 부유층에게만 세금 감면 혜택이 돌아가는 조세 불평등을 해소하고 조세 정의를 실현해야 하기 때문이야.
생명윤리/바이오,"여성 자기결정권을 위해 배우자 동의 없이 시험관 임신을 인정해야 해. 여성의 신체 및 출산 관련 결정권은 기본권 중 하나이며, 출산 계획을 스스로 결정할 수 있도록 보장해야 하기 때문이야."
사회,"학교 수영장과 체육관을 지역사회에 개방해야 해. 학교 시설은 국민 세금으로 지어진 공공 시설이므로, 주민들의 체육 활동 및 여가 선용 기회 확대를 위해 활용해야 하기 때문이야."
사회,"창고형 약국을 규제해야 해. 약품은 공공재의 성격을 가지므로, 창고형 약국이 영리 목적으로 과도하게 가격 경쟁을 유발하고 주변 약국을 고사시키는 것을 막아야 하기 때문이야."
사회,"성형수술 실명제를 도입해야 해. '대리 수술' 등 불법 의료 행위를 근절하고, 부작용 발생 시 책임 소재를 명확히 하여 환자의 안전을 보장해야 하기 때문이야."
정치/시사/경제,국회의원 국민소환제를 도입해야 해. 국회의원의 불성실한 의정 활동과 비도덕적 행태에 대한 국민의 직접 통제력을 강화하여 책임감을 높여야 하기 때문이야.
사회,"사이버 망명을 허용해야 해. 개인 정보 주권과 사생활 보호를 위한 최후의 수단이며, 국가의 과도한 정보 통제로부터 국민의 기본권을 지켜야 하기 때문이야."
정치/시사/경제,공공기관의 비정규직을 정규직으로 전환해야 해. 공공기관은 동일 노동-동일 임금 원칙을 실현하고 비정규직의 고용 불안을 해소하여 사회적 책임을 선도해야 하기 때문이야.
정치/시사/경제,기업 자율성 보장을 위해 경영 규제를 완화해야 해. 기업의 혁신을 촉진하고 신속한 시장 대응력을 높여 국가 경제 성장을 이루어야 하기 때문이야.
정치/시사/경제,공무원 연금 지급 개시 연령을 상향해야 해. 급격한 고령화로 인해 공무원 연금의 재정 적자가 심화되고 있어 미래 세대의 부담을 줄여야 하기 때문이야.
정치/시사/경제,"공공부문에 드론 활용을 의무화해야 해. 재난 구조, 시설물 안전 점검 등 위험하고 비효율적인 업무에 드론을 활용하여 공공 서비스의 질을 높이고 비용을 절감해야 하기 때문이야."
교육/학교/청소년,"고졸 취업자 지원을 확대해야 해. 학벌 위주 사회를 탈피하고 능력 중심 사회를 구현하며, 청년층의 실질적인 경제 활동 참여를 촉진해야 하기 때문이야."
환경/에너지,온실가스 감축을 위해 탄소세를 도입해야 해. 기후 변화 위기에 적극적으로 대응하고 기업 및 소비자의 환경 친화적 행동을 유도하여 지속 가능한 사회를 만들어야 하기 때문이야.
평등,"여성 징병제를 도입해야 해. 저출산으로 인한 병력 자원 감소에 대비하고, 남녀 간의 공평한 국방 의무를 실현하여 성평등 사회를 구현해야 하기 때문이야."
생명윤리/바이오,"낙태를 전면 허용해야 해. 여성의 자기 결정권이라는 기본권을 존중하고, 불법 시술로 인한 위험으로부터 여성의 건강을 보호해야 하기 때문이야."
정치/시사/경제,"최저 임금을 대폭 인상해야 해. 저임금 노동자의 삶의 질을 실질적으로 개선하고, 소비 증대를 통한 내수 활성화라는 경제적 효과를 창출해야 하기 때문이야."
환경/에너지,"미세먼지 비상저감조치를 의무화해야 해. 미세먼지는 국민의 생명과 건강을 위협하는 심각한 재난이므로, 정부가 강력한 책임감을 가지고 조치를 취해야 하기 때문이야."
정치/시사/경제,"대형마트 의무 휴업을 폐지해야 해. 소비자의 쇼핑 편의를 증진하고, 유통 산업의 경쟁력 강화와 규제로 인한 경제적 손실을 막아야 하기 때문이야."
정치/시사/경제,농지 소유 규제를 완화해야 해. 농업 경쟁력을 높이고 귀농 희망자 및 투자자의 진입 장벽을 낮추어 농지의 효율적 이용과 개발을 촉진해야 하기 때문이야.
