[CritiqueBot] TEST_MODE set to False
[CritiqueBot] (exp) 버전 구성: {'summarizer': {'version': 'v1', 'model': 'gpt-5-chat-latest'}, 'rebuttal': {'version': 'v2', 'model': 'gpt-5-chat-latest'}, 'judge': {'version': 'v1', 'model': 'gpt-5-chat-latest'}, 'textgrad': {'version': 'v1', 'model': 'gpt-5-chat-latest'}}
[CritiqueBot] (exp) 런타임 모듈: {'summarizer': {'class': 'SummarizerSubModule_ver1', 'model': 'gpt-5-chat-latest'}, 'rebuttal': {'class': 'RebuttalSubModule_ver2', 'model': 'gpt-5-chat-latest'}, 'judge': {'class': 'InternalJudge_ver1', 'model': 'gpt-5-chat-latest'}, 'textgrad': {'class': 'TextGradGenerator', 'model': 'gpt-5-chat-latest'}}
[CritiqueBot] [Row 1/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 2/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 3/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 87.0/90 TextGrad Summarizer Rebuttal Judge Pass 94.0/90
[CritiqueBot] [Row 4/99 | 철학/윤리 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 5/99 | 환경/에너지 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 6/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 7/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 87.0/90 TextGrad Summarizer Rebuttal Judge Pass 94.0/90
[CritiqueBot] [Row 8/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Fail 87.0/90 TextGrad Summarizer Rebuttal Judge Fail 85.0/90 TextGrad Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 9/99 | 교육/학교/청소년 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 10/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 11/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 87.0/90 TextGrad Summarizer Rebuttal Judge Pass 92.0/90
[CritiqueBot] [Row 12/99 | 생명윤리/바이오 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 13/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Pass 94.0/90
[CritiqueBot] [Row 14/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 15/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 89.0/90 TextGrad Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 16/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Fail 87.0/90 TextGrad Summarizer Rebuttal Judge Pass 93.0/90
[CritiqueBot] [Row 17/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Pass 92.0/90
[CritiqueBot] [Row 18/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 92.0/90
[CritiqueBot] [Row 19/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 93.0/90
[CritiqueBot] [Row 20/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 89.0/90 TextGrad Summarizer Rebuttal Judge Pass 93.0/90
[CritiqueBot] [Row 21/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 22/99 | 교육/학교/청소년 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 23/99 | 환경/에너지 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 89.0/90 TextGrad Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 24/99 | 평등 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 25/99 | 생명윤리/바이오 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 26/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 92.0/90
[CritiqueBot] [Row 27/99 | 환경/에너지 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 89.0/90 TextGrad Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 28/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 29/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 30/99 | 교육/학교/청소년 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 31/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 87.0/90 TextGrad Summarizer Rebuttal Judge Fail 87.0/90 TextGrad Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 32/99 | 교육/학교/청소년 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 86.0/90 TextGrad Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Pass 93.0/90
[CritiqueBot] [Row 33/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 86.0/90 TextGrad Summarizer Rebuttal Judge Pass 91.0/90
[CritiqueBot] [Row 34/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 90.0/90
[CritiqueBot] [Row 35/99 | 법률 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 92.0/90
[CritiqueBot] [Row 36/99 | 정치/시사/경제 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Pass 93.0/90
[CritiqueBot] [Row 37/99 | 사회 | Run 1/1 | Turn 1/1] Summarizer Rebuttal Judge Fail 88.0/90 TextGrad Summarizer Rebuttal Judge Pass 91.0/90
